Time(s),Temperature(°C),,
122,22.12,25,20
123,22.42,25,20
124,22.51,25,20
125,22.21,25,20
126,22.6,25,20
127,22.26,25,20
128,22.63,25,20
129,22.65,25,20
130,22.2,25,20
131,21.82,25,20
132,22.36,25,20
133,21.74,25,20
134,22.23,25,20
135,21.73,25,20
136,21.31,25,20
137,20.98,25,20
138,21.57,25,20
139,21.16,25,20
140,21.63,25,20
141,21.91,25,20
142,21.76,25,20
143,22.18,25,20
144,21.78,25,20
145,21.73,25,20
146,21.59,25,20
147,21.33,25,20
148,20.86,25,20
149,21.59,25,20
150,21.71,25,20
151,21.08,25,20
152,21.07,25,20
153,20.86,25,20
154,21,25,20
155,20.31,25,20
156,19.96,25,20
157,20.45,25,20
158,20.81,25,20
159,20.65,25,20
160,20.76,25,20
161,20.31,25,20
162,19.66,25,20
163,19.39,25,20
164,19.34,25,20
165,19.7,25,20
166,19.87,25,20
167,19.75,25,20
168,20,25,20
169,19.91,25,20
170,20.05,25,20
171,20.09,25,20
172,20.33,25,20
173,20.8,25,20
174,20.92,25,20
175,21.22,25,20
176,21.6,25,20
177,21.75,25,20
178,22.04,25,20
179,21.55,25,20
180,23.11,25,20
181,23.02,25,20
182,22.55,25,20
183,22.72,25,20
184,21.75,25,20
185,21.92,25,20
186,22.06,25,20
187,21.94,25,20
188,21.42,25,20
189,21.65,25,20
190,21.79,25,20
191,21.21,25,20
192,20.62,25,20
193,19.95,25,20
194,20.29,25,20
195,20.22,25,20
196,20.56,25,20
197,20.05,25,20
198,20.08,25,20
199,20.08,25,20
200,19.19,25,20
201,19.3,25,20
202,18.95,25,20
203,19.57,25,20
204,20.29,25,20
205,20.15,25,20
206,20.5,25,20
207,20.14,25,20
208,19.6,25,20
209,19.4,25,20
210,19,25,20
211,18.87,25,20
212,18.58,25,20
213,19.17,25,20
214,19.75,25,20
215,19.8,25,20
216,19.57,25,20
217,19.83,25,20
218,19.54,25,20
219,19.23,25,20
220,20,25,20
221,20.08,25,20
222,19.81,25,20
223,20.18,25,20
224,20.48,25,20
225,20.75,25,20
226,20.88,25,20
227,21.28,25,20
228,20.96,25,20
229,20.67,25,20
230,20.39,25,20
231,20.66,25,20
232,21.31,25,20
233,21.26,25,20
234,21.49,25,20
235,21.08,25,20
236,21.31,25,20
237,21.77,25,20
238,21.58,25,20
239,21.58,25,20
240,21.08,25,20
241,21.16,25,20
242,20.84,25,20
243,21.36,25,20
244,21.44,25,20
245,21.65,25,20
246,22.02,25,20
247,21.43,25,20
248,21.85,25,20
249,21.55,25,20
250,21.04,25,20
251,21.51,25,20
252,21.76,25,20
253,22.43,25,20
254,21.85,25,20
255,21.75,25,20
256,21.38,25,20
257,21.39,25,20
258,21.3,25,20
259,21.55,25,20
260,21.12,25,20
261,20.95,25,20
262,21.67,25,20
263,22.41,25,20
264,22.95,25,20
265,23.34,25,20
266,23.27,25,20
267,22.99,25,20
268,22.43,25,20
269,22.93,25,20
270,23.23,25,20
271,22.81,25,20
272,22.15,25,20
273,21.73,25,20
274,21.41,25,20
275,21.79,25,20
276,22.21,25,20
277,21.73,25,20
278,21.73,25,20
279,21.32,25,20
280,21.5,25,20
281,21.93,25,20
282,22.63,25,20
283,23.07,25,20
284,23.35,25,20
285,23.29,25,20
286,22.6,25,20
287,23.13,25,20
288,23.55,25,20
289,22.97,25,20
290,22.45,25,20
291,22.46,25,20
292,22.08,25,20
293,22.17,25,20
294,22.11,25,20
295,21.73,25,20
296,21.73,25,20
297,21.23,25,20
298,22,25,20
299,22.13,25,20
